,confidence,consensus,id,net spoke 5% similarity,net spoke 95% similarity,net spoke PC1,spoke 5% similarity,spoke 95% similarity,spoke PC1,survey 5% similarity,survey 95% similarity,survey PC1,t,network
GT_Bd3w7KBP8ZKKMBxhj_0,53.4,55.15,Bd3w7KBP8ZKKMBxhj,-0.18764035817309022,0.3087902036320227,0.20701012883550476,-0.4183300132670376,0.8068320079362057,0.38263531453030303,-0.7253465880215129,0.7477891711006218,0.3596869124513554,0,1
GT_Bd3w7KBP8ZKKMBxhj_1,53.5,51.6,Bd3w7KBP8ZKKMBxhj,-0.13690281469461368,0.37751653588994716,0.31793701648525363,-0.3409053448643391,0.8964214570007952,0.5055997871594159,-0.5532093276880805,0.8737832934063717,0.4884264973882414,1,1
GT_xXvsHQvoQC4LsoyCi_0,43.35,42.7,xXvsHQvoQC4LsoyCi,-0.17769545368288828,0.1983646219100773,0.08925371911542057,-0.29351849866450536,0.7174300539794393,0.34277427581718656,-0.4923092536724683,0.5750303086308788,0.279186045413746,0,0
GT_xXvsHQvoQC4LsoyCi_1,59.35,53.5,xXvsHQvoQC4LsoyCi,-0.14971939856458302,0.1812169782857055,0.11802044520057564,-0.3346906039304326,0.7163279717599776,0.30113678483400524,-0.5495729128118757,0.7466678795201119,0.41752190241808496,1,0
GT_5wifJzSKTJuDtQkzS_0,57.55,54.55,5wifJzSKTJuDtQkzS,-0.2016186882102861,0.3156046559870508,0.23558412997363345,-0.31352722326440996,0.900422518413643,0.422482497679142,-0.621685681279253,0.7234856956712592,0.4402809636601942,0,1
GT_5wifJzSKTJuDtQkzS_1,52.35,57.1,5wifJzSKTJuDtQkzS,-0.17630068846305302,0.2964048543751269,0.21588728790096037,-0.4303314829119354,0.7830464638343699,0.3971251383882726,-0.5391927733342311,0.6865642866187296,0.3542927676671531,1,1
GT_acKghgvvb3kewvMd9_0,50.5,50.6,acKghgvvb3kewvMd9,-0.14023335202459558,0.1477182028209495,0.11543787203324019,-0.3187541967952252,0.6708203932499368,0.374724121846766,-0.4858827138436957,0.7394581895238068,0.4196030342529831,0,0
GT_acKghgvvb3kewvMd9_1,58.3,54.45,acKghgvvb3kewvMd9,-0.126360537724498,0.013727865464150169,0.05792204051162175,-0.1385344367943712,0.6420707920165688,0.24991515412312937,-0.3518347280579299,0.6901219423617129,0.3119373034493575,1,0
GT_nan_0,,,,,,,,,,,,,0,1
GT_nan_1,,,,,,,,,,,,,1,1
GT_hRLty7e6fGMsjgzJH_0,50.0,54.35,hRLty7e6fGMsjgzJH,-0.012017760844473147,0.052301971703713535,0.037720695595767545,-0.15789473684210528,0.6900655593423545,0.25294979269417345,-0.20994541107424447,0.7802772858730007,0.2679061192235796,0,0
GT_hRLty7e6fGMsjgzJH_1,48.85,53.2,hRLty7e6fGMsjgzJH,-0.03130022978002514,0.09431169644763093,0.044712297528846284,-0.21602468994692867,0.6517949073958692,0.25325576634616603,-0.4895671194361938,0.6502810707223055,0.265224863327968,1,0
GT_nan_0,,,,,,,,,,,,,0,1
GT_nan_1,,,,,,,,,,,,,1,1
GT_bALDaKPEGyutrm8bn_0,45.3,42.15,bALDaKPEGyutrm8bn,0.02331575773866043,0.07886154615822139,0.04692210339097644,-0.149071198499986,0.6123724356957945,0.2338278536733985,-0.5275343748969257,0.7271513365583979,0.36978072809438123,0,0
GT_bALDaKPEGyutrm8bn_1,44.65,53.75,bALDaKPEGyutrm8bn,-0.1273778616783038,0.14105893452865365,0.0966414624422382,-0.3694821562747527,0.6185528565173853,0.28461074352909194,-0.5635351962375231,0.6276549771473057,0.3568510675671482,1,0
GT_kEHF9QnbLb3YtYfbj_0,45.9,48.6,kEHF9QnbLb3YtYfbj,-0.1306262432552608,0.2250860675682297,0.1528274722310134,-0.2945254195939342,0.8038941188600168,0.40720504959673626,-0.490766294353157,0.7164796700558566,0.3048156137662406,0,1
GT_kEHF9QnbLb3YtYfbj_1,64.45,66.3,kEHF9QnbLb3YtYfbj,-0.050455123472115226,0.47440576087111486,0.20877430053231577,-0.2886751345948129,1.0,0.4020640471045565,-0.5778600195260939,0.8041508246434093,0.4285798992344684,1,1
GT_aufBQzkbCokRBX9js_0,55.8,55.55,aufBQzkbCokRBX9js,-0.04221227352256807,0.12253086540449998,-0.003560830252385294,0.03142015166627045,0.8035714285714287,0.2921632292256307,-0.2634234634890316,0.7333750176429747,0.25396951773071175,0,0
GT_aufBQzkbCokRBX9js_1,55.75,50.2,aufBQzkbCokRBX9js,-0.04374700649824376,0.07064298164578953,0.06125532489021343,-0.1687898945139445,0.6058713061290846,0.2563659481830021,-0.3917069296876907,0.7052521333402162,0.3604069282533734,1,0
